pair_id,model_key,dim_id,iter,order,nota_L,nota_F,delta,abst,delta_z
deepseek|m2|D7|i4,deepseek,D7,4,LF,8.0,5.0,3.0,,0.13934660285832348
deepseek|m2|D7|i5,deepseek,D7,5,LF,7.0,7.0,0.0,,-1.4283026792978162
deepseek|m2|D7|i6,deepseek,D7,6,LF,8.0,5.0,3.0,,0.13934660285832348
deepseek|m2|D7|i7,deepseek,D7,7,FL,7.0,5.0,2.0,,-0.3832031578603897
deepseek|m2|D7|i8,deepseek,D7,8,FL,8.0,6.0,2.0,,-0.3832031578603897
deepseek|m2|D7|i10,deepseek,D7,10,FL,8.0,5.0,3.0,,0.13934660285832348
deepseek|m2|D7|i9,deepseek,D7,9,FL,7.0,6.0,1.0,,-0.9057529185791029
deepseek|m2|D7|i11,deepseek,D7,11,LF,7.0,5.0,2.0,,-0.3832031578603897
deepseek|m2|D7|i12,deepseek,D7,12,FL,7.0,5.0,2.0,,-0.3832031578603897
deepseek|m2|D7|i14,deepseek,D7,14,FL,7.0,5.0,2.0,,-0.3832031578603897
deepseek|m2|D7|i13,deepseek,D7,13,FL,8.0,5.0,3.0,,0.13934660285832348
deepseek|m2|D1|i7,deepseek,D1,7,LF,6.0,4.0,2.0,,-0.3832031578603897
deepseek|m2|D1|i9,deepseek,D1,9,LF,5.0,5.0,0.0,,-1.4283026792978162
deepseek|m2|D1|i0,deepseek,D1,0,FL,5.0,5.0,0.0,,-1.4283026792978162
deepseek|m2|D1|i1,deepseek,D1,1,FL,5.0,5.0,0.0,,-1.4283026792978162
deepseek|m2|D1|i3,deepseek,D1,3,LF,6.0,5.0,1.0,,-0.9057529185791029
gemini|m2|D1|i6,gemini,D1,6,FL,,,,EA;EA,
gemini|m2|D1|i4,gemini,D1,4,LF,,,,EA;EA,
gemini|m2|D1|i7,gemini,D1,7,FL,,,,EA;EA,
gemini|m2|D1|i1,gemini,D1,1,FL,,,,EA;EA,
gemini|m2|D1|i10,gemini,D1,10,FL,,,,EA;EA,
gemini|m2|D1|i11,gemini,D1,11,LF,,,,EA;EA,
gemini|m2|D1|i8,gemini,D1,8,LF,,,,EA;EA,
gemini|m2|D1|i9,gemini,D1,9,FL,,,,EA;EA,
gemini|m2|D1|i12,gemini,D1,12,LF,,,,EA;EA,
gemini|m2|D1|i14,gemini,D1,14,LF,,,,EA;EA,
gemini|m2|D1|i13,gemini,D1,13,LF,,,,EA;EA,
gemini|m2|D2|i0,gemini,D2,0,LF,,,,EA;EA,
gemini|m2|D2|i3,gemini,D2,3,FL,,,,EA;EA,
gemini|m2|D2|i1,gemini,D2,1,FL,,,,EA;EA,
gemini|m2|D2|i2,gemini,D2,2,LF,,,,EA;EA,
gemini|m2|D2|i4,gemini,D2,4,LF,,,,EA;EA,
gemini|m2|D2|i5,gemini,D2,5,FL,,,,EA;EA,
gemini|m2|D2|i8,gemini,D2,8,LF,,,,EA;EA,
gemini|m2|D2|i11,gemini,D2,11,FL,,,,EA;EA,
gemini|m2|D2|i6,gemini,D2,6,LF,,,,EA;EA,
gemini|m2|D2|i10,gemini,D2,10,FL,,,,EA;EA,
gemini|m2|D2|i7,gemini,D2,7,FL,,,,EA;EA,
gemini|m2|D2|i13,gemini,D2,13,LF,,,,EA;EA,
gemini|m2|D2|i12,gemini,D2,12,LF,,,,EA;EA,
gemini|m2|D3|i1,gemini,D3,1,LF,,,,EA;EA,
gemini|m2|D2|i14,gemini,D2,14,LF,,,,EA;EA,
gemini|m2|D3|i2,gemini,D3,2,FL,,,,EA;EA,
gemini|m2|D3|i3,gemini,D3,3,LF,,,,EA;EA,
gemini|m2|D2|i9,gemini,D2,9,FL,,,,EA;EA,
gemini|m2|D3|i0,gemini,D3,0,FL,,,,EA;EA,
gemini|m2|D3|i5,gemini,D3,5,FL,,,,EA;EA,
gemini|m2|D3|i7,gemini,D3,7,LF,,,,EA;EA,
gemini|m2|D3|i6,gemini,D3,6,LF,,,,EA;EA,
gemini|m2|D3|i9,gemini,D3,9,FL,,,,EA;EA,
gemini|m2|D3|i4,gemini,D3,4,FL,,,,EA;EA,
gemini|m2|D3|i11,gemini,D3,11,LF,,,,EA;EA,
gemini|m2|D3|i13,gemini,D3,13,LF,,,,EA;EA,
gemini|m2|D3|i8,gemini,D3,8,FL,,,,EA;EA,
gemini|m2|D3|i10,gemini,D3,10,FL,,,,EA;EA,
gemini|m2|D3|i14,gemini,D3,14,LF,,,,EA;EA,
gemini|m2|D3|i12,gemini,D3,12,LF,,,,EA;EA,
gemini|m2|D4|i0,gemini,D4,0,FL,,,,EA;EA,
gemini|m2|D4|i2,gemini,D4,2,LF,,,,EA;EA,
gemini|m2|D4|i3,gemini,D4,3,FL,,,,EA;EA,
gemini|m2|D4|i1,gemini,D4,1,LF,,,,EA;EA,
gemini|m2|D4|i4,gemini,D4,4,FL,,,,EA;EA,
gemini|m2|D4|i5,gemini,D4,5,FL,,,,EA;EA,
gemini|m2|D4|i6,gemini,D4,6,FL,,,,EA;EA,
gemini|m2|D4|i8,gemini,D4,8,LF,,,,EA;EA,
gemini|m2|D4|i7,gemini,D4,7,LF,,,,EA;EA,
gemini|m2|D4|i9,gemini,D4,9,FL,,,,EA;EA,
gemini|m2|D4|i10,gemini,D4,10,FL,,,,EA;EA,
gemini|m2|D4|i13,gemini,D4,13,LF,,,,EA;EA,
gemini|m2|D4|i12,gemini,D4,12,LF,,,,EA;EA,
gemini|m2|D4|i14,gemini,D4,14,LF,,,,EA;EA,
gemini|m2|D5|i0,gemini,D5,0,LF,,,,EA;EA,
gemini|m2|D5|i1,gemini,D5,1,LF,,,,EA;EA,
gemini|m2|D4|i11,gemini,D4,11,LF,,,,EA;EA,
gemini|m2|D5|i2,gemini,D5,2,FL,,,,EA;EA,
gemini|m2|D5|i5,gemini,D5,5,LF,,,,EA;EA,
gemini|m2|D5|i6,gemini,D5,6,FL,,,,EA;EA,
gemini|m2|D5|i4,gemini,D5,4,LF,,,,EA;EA,
gemini|m2|D5|i3,gemini,D5,3,LF,,,,EA;EA,
gemini|m2|D5|i9,gemini,D5,9,LF,,,,EA;EA,
gemini|m2|D5|i8,gemini,D5,8,FL,,,,EA;EA,
gemini|m2|D5|i7,gemini,D5,7,FL,,,,EA;EA,
gemini|m2|D5|i10,gemini,D5,10,FL,,,,EA;EA,
gemini|m2|D5|i13,gemini,D5,13,FL,,,,EA;EA,
gemini|m2|D5|i12,gemini,D5,12,LF,,,,EA;EA,
gemini|m2|D5|i11,gemini,D5,11,FL,,,,EA;EA,
gemini|m2|D6|i2,gemini,D6,2,LF,,,,EA;EA,
gemini|m2|D5|i14,gemini,D5,14,LF,,,,EA;EA,
gemini|m2|D6|i1,gemini,D6,1,FL,,,,EA;EA,
gemini|m2|D6|i3,gemini,D6,3,LF,,,,EA;EA,
gemini|m2|D6|i0,gemini,D6,0,FL,,,,EA;EA,
gemini|m2|D6|i7,gemini,D6,7,FL,,,,EA;EA,
gemini|m2|D6|i5,gemini,D6,5,LF,,,,EA;EA,
gemini|m2|D6|i4,gemini,D6,4,LF,,,,EA;EA,
gemini|m2|D6|i6,gemini,D6,6,FL,,,,EA;EA,
gemini|m2|D6|i10,gemini,D6,10,LF,,,,EA;EA,
gemini|m2|D6|i8,gemini,D6,8,FL,,,,EA;EA,
gemini|m2|D6|i9,gemini,D6,9,FL,,,,EA;EA,
gemini|m2|D6|i14,gemini,D6,14,LF,,,,EA;EA,
gemini|m2|D6|i11,gemini,D6,11,LF,,,,EA;EA,
gemini|m2|D6|i12,gemini,D6,12,LF,,,,EA;EA,
gemini|m2|D6|i13,gemini,D6,13,FL,,,,EA;EA,
gemini|m2|D7|i0,gemini,D7,0,LF,,,,EA;EA,
gemini|m2|D7|i1,gemini,D7,1,FL,,,,EA;EA,
gemini|m2|D7|i2,gemini,D7,2,LF,,,,EA;EA,
gemini|m2|D7|i3,gemini,D7,3,LF,,,,EA;EA,
gemini|m2|D7|i5,gemini,D7,5,FL,,,,EA;EA,
gemini|m2|D7|i6,gemini,D7,6,LF,,,,EA;EA,
gemini|m2|D7|i8,gemini,D7,8,FL,,,,EA;EA,
gemini|m2|D7|i9,gemini,D7,9,FL,,,,EA;EA,
gemini|m2|D7|i10,gemini,D7,10,LF,,,,EA;EA,
gemini|m2|D7|i4,gemini,D7,4,LF,,,,EA;EA,
gemini|m2|D7|i11,gemini,D7,11,LF,,,,EA;EA,
gemini|m2|D7|i12,gemini,D7,12,FL,,,,EA;EA,
gemini|m2|D7|i7,gemini,D7,7,FL,,,,EA;EA,
gemini|m2|D7|i13,gemini,D7,13,LF,,,,EA;EA,
gemini|m2|D7|i14,gemini,D7,14,FL,,,,EA;EA,
gemini|m2|D1|i5,gemini,D1,5,FL,,,,EA;EA,
gemini|m2|D1|i2,gemini,D1,2,LF,,,,EA;EA,
gemini|m2|D1|i0,gemini,D1,0,LF,,,,EA;EA,
gemini|m2|D1|i3,gemini,D1,3,FL,,,,EA;EA,
